Field,ID,Type (種類),default,ja,en,de,ko,vi,zh-cn,zh-tw,hi,ms,id,pt-BR
Description,2,テキスト,,"WindowTranslator は、PC 上で動作するゲームやアプリの画面テキストをそのまま読み取り、訳文をオーバーレイ表示する Windows 向けの翻訳ツールです。対象のウィンドウを選ぶだけで、プレイ中・作業中の体験を壊さずに翻訳結果を重ねて表示できます。

DeepL や Gemini など、お好みの翻訳エンジンを選んで利用でき、必要に応じて OCR（画面文字の自動認識）も連携。複雑な設定なしに、ゲームの UI やダイアログ、ブラウザーやドキュメントなど、アプリを問わず幅広く扱えます。","WindowTranslator is a Windows translation tool that reads screen text from games and apps running on your PC and overlays the translation directly. Just select the target window to display translations without disrupting your gameplay or work experience.

You can choose your preferred translation engine, such as DeepL or Gemini, and optionally use OCR (automatic text recognition). With no complicated setup, it works broadly with game UIs, dialogs, browsers, documents, and more, regardless of the app.","WindowTranslator ist ein Übersetzungstool für Windows, das Bildschirmtexte von Spielen und Anwendungen direkt ausliest und die Übersetzung als Overlay anzeigt. Wählen Sie einfach das gewünschte Fenster aus, um Übersetzungen anzuzeigen, ohne Ihr Spielerlebnis oder Ihre Arbeit zu stören.

Sie können Ihren bevorzugten Übersetzungsdienst wie DeepL oder Gemini auswählen und bei Bedarf OCR (automatische Texterkennung) nutzen. Ohne komplizierte Einstellungen funktioniert es mit Spiel-UIs, Dialogen, Browsern, Dokumenten und mehr, unabhängig von der Anwendung.","WindowTranslator는 PC에서 실행되는 게임이나 앱의 화면 텍스트를 직접 읽어 번역문을 오버레이로 표시하는 Windows용 번역 도구입니다. 대상 창을 선택하기만 하면 플레이나 작업 중 경험을 방해하지 않고 번역 결과를 겹쳐서 보여줍니다.

DeepL, Gemini 등 원하는 번역 엔진을 선택해 사용할 수 있으며, 필요에 따라 OCR(화면 문자 자동 인식)도 연동됩니다. 복잡한 설정 없이 게임 UI, 대화창, 브라우저, 문서 등 다양한 앱에서 폭넓게 사용할 수 있습니다.","WindowTranslator là công cụ dịch dành cho Windows, đọc trực tiếp văn bản trên màn hình từ các trò chơi và ứng dụng chạy trên PC, sau đó hiển thị bản dịch dưới dạng lớp phủ. Chỉ cần chọn cửa sổ mục tiêu để hiển thị kết quả dịch mà không làm gián đoạn trải nghiệm chơi game hoặc làm việc của bạn.

Bạn có thể chọn công cụ dịch yêu thích như DeepL hoặc Gemini, và tùy chọn sử dụng OCR (nhận dạng ký tự tự động). Không cần cài đặt phức tạp, công cụ này hoạt động rộng rãi với giao diện trò chơi, hộp thoại, trình duyệt, tài liệu và nhiều ứng dụng khác.","WindowTranslator 是一款适用于 Windows 的翻译工具，可直接读取在 PC 上运行的游戏和应用程序的屏幕文本，并将译文以叠加方式显示。只需选择目标窗口，即可在不影响游戏或工作的情况下显示翻译结果。

您可以选择 DeepL、Gemini 等喜欢的翻译引擎，并可根据需要联动 OCR（自动识别屏幕文字）。无需复杂设置，广泛适用于游戏 UI、对话框、浏览器、文档等各种应用。","WindowTranslator 是一款適用於 Windows 的翻譯工具，可直接讀取在 PC 上運行的遊戲和應用程式的螢幕文字，並將譯文以疊加方式顯示。只需選擇目標視窗，即可在不影響遊戲或工作的情況下顯示翻譯結果。

您可以選擇 DeepL、Gemini 等喜愛的翻譯引擎，並可根據需要聯動 OCR（自動識別螢幕文字）。無需複雜設定，廣泛適用於遊戲 UI、對話框、瀏覽器、文件等各種應用。","WindowTranslator एक Windows अनुवाद उपकरण है जो आपके PC पर चल रहे गेम और ऐप्स से स्क्रीन टेक्स्ट को सीधे पढ़ता है और अनुवाद को ओवरले के रूप में प्रदर्शित करता है। केवल लक्ष्य विंडो का चयन करें और अपने गेमप्ले या कार्य अनुभव को बाधित किए बिना अनुवाद परिणामों को प्रदर्शित करें।

आप DeepL या Gemini जैसे अपनी पसंदीदा अनुवाद इंजन का चयन कर सकते हैं, और आवश्यकतानुसार OCR (स्वचालित टेक्स्ट पहचान) का उपयोग कर सकते हैं। बिना जटिल सेटअप के, यह गेम UI, डायलॉग, ब्राउज़र, दस्तावेज़ और अधिक के साथ व्यापक रूप से काम करता है, चाहे ऐप कोई भी हो।","WindowTranslator adalah alat terjemahan untuk Windows yang membaca teks layar dari game dan aplikasi yang berjalan di PC Anda dan menampilkan terjemahan secara langsung sebagai hamparan. Cukup pilih jendela target untuk menampilkan hasil terjemahan tanpa mengganggu pengalaman bermain atau bekerja Anda.

Anda dapat memilih mesin terjemahan pilihan seperti DeepL atau Gemini, dan opsional menggunakan OCR (pengenalan teks otomatis). Tanpa pengaturan rumit, alat ini bekerja luas dengan UI game, dialog, browser, dokumen, dan banyak lagi, terlepas dari aplikasinya.","WindowTranslator ialah alat terjemahan untuk Windows yang membaca teks skrin dari permainan dan aplikasi yang berjalan di PC anda dan memaparkan terjemahan secara terus sebagai hamparan. Hanya pilih tetingkap sasaran untuk memaparkan hasil terjemahan tanpa mengganggu pengalaman bermain atau bekerja anda.

Anda boleh memilih enjin terjemahan pilihan seperti DeepL atau Gemini, dan secara pilihan menggunakan OCR (pengecaman teks automatik). Tanpa tetapan yang rumit, alat ini berfungsi secara meluas dengan UI permainan, dialog, pelayar, dokumen, dan banyak lagi, tanpa mengira aplikasinya.","WindowTranslator é uma ferramenta de tradução para Windows que lê texto da tela de jogos e aplicativos executados no seu PC e sobrepõe a tradução diretamente. Basta selecionar a janela de destino para exibir traduções sem interromper sua experiência de jogo ou trabalho.

Você pode escolher seu mecanismo de tradução preferido, como DeepL ou Gemini, e opcionalmente usar OCR (reconhecimento automático de texto). Sem configuração complicada, funciona amplamente com interfaces de jogos, diálogos, navegadores, documentos e muito mais, independentemente do aplicativo."
ReleaseNotes,3,テキスト,,,,,,,,,,,,
Title,4,テキスト,,WindowTranslator,WindowTranslator,WindowTranslator,WindowTranslator,WindowTranslator,WindowTranslator,WindowTranslator,WindowTranslator,WindowTranslator,WindowTranslator,WindowTranslator
ShortTitle,5,テキスト,,,,,,,,,,,,
SortTitle,6,テキスト,,,,,,,,,,,,
VoiceTitle,7,テキスト,,,,,,,,,,,,
ShortDescription,8,テキスト,,WindowTranslator は、PCゲームやアプリのテキストをOCRで読み取り、DeepL/Googleなどで翻訳、訳文を画面に重ねて表示するツールです。セットアップ簡単、低遅延。ホットキー・プロファイル・表示調整対応。,"WindowTranslator reads text from PC games and apps using OCR, translates it with DeepL/Google, and overlays the translation on the screen. Easy setup, low latency. Supports hotkeys, profiles, and display adjustments.","WindowTranslator liest Texte aus PC-Spielen und Apps per OCR aus, übersetzt sie mit DeepL/Google und zeigt die Übersetzung als Overlay auf dem Bildschirm an. Einfache Einrichtung, geringe Latenz. Unterstützt Hotkeys, Profile und Anzeigeanpassungen.","WindowTranslator는 PC 게임과 앱의 텍스트를 OCR로 읽어 DeepL/Google로 번역하고, 번역문을 화면에 오버레이로 표시합니다. 간편한 설정, 저지연. 핫키, 프로필, 표시 조정 지원.","WindowTranslator đọc văn bản từ trò chơi và ứng dụng PC bằng OCR, dịch bằng DeepL/Google và hiển thị bản dịch trên màn hình. Cài đặt dễ dàng, độ trễ thấp. Hỗ trợ phím tắt, hồ sơ và điều chỉnh hiển thị.",WindowTranslator 通过 OCR 读取 PC 游戏和应用的文本，使用 DeepL/Google 翻译，并将译文叠加显示在屏幕上。设置简单，低延迟。支持热键、配置文件和显示调整。,WindowTranslator 透過 OCR 讀取 PC 遊戲和應用程式的文字，使用 DeepL/Google 翻譯，並將譯文疊加顯示於螢幕。設定簡單，低延遲。支援熱鍵、設定檔及顯示調整。,"WindowTranslator एक टूल है जो OCR के साथ PC गेम और ऐप्स के टेक्स्ट को पढ़ता है, DeepL/Google आदि के साथ अनुवाद करता है, और अनुवादित टेक्स्ट को स्क्रीन पर ओवरले करता है। सेटअप आसान, कम विलंब। हॉटकी, प्रोफाइल और डिस्प्ले समायोजन समर्थित।","WindowTranslator membaca teks dari game dan aplikasi PC menggunakan OCR, menerjemahkannya dengan DeepL/Google, dan menampilkan terjemahan pada layar. Pengaturan mudah, latensi rendah. Mendukung hotkey, profil, dan penyesuaian tampilan.","WindowTranslator membaca teks dari permainan dan aplikasi PC menggunakan OCR, menterjemahkannya dengan DeepL/Google, dan memaparkan terjemahan pada skrin. Tetapan mudah, kependaman rendah. Menyokong kekunci panas, profil, dan pelarasan paparan.","WindowTranslator lê textos de jogos e aplicativos de PC usando OCR, traduz com DeepL/Google e sobrepõe a tradução na tela. Configuração fácil, baixa latência. Suporta teclas de atalho, perfis e ajustes de exibição."
DevStudio,9,テキスト,,StudioFreesia,StudioFreesia,StudioFreesia,StudioFreesia,StudioFreesia,StudioFreesia,StudioFreesia,StudioFreesia,StudioFreesia,StudioFreesia,StudioFreesia
CopyrightTrademarkInformation,12,テキスト,,,,,,,,,,,,
AdditionalLicenseTerms,13,テキスト,,,,,,,,,,,,
