Field,Type,韓国語,ベトナム語,ドイツ語,繁体中国語,簡体中国語,英語,日本語
ProductName,Text,,,,,,,WindowTranslator
Description,Text,,,,,,,"WindowTranslator は、PC 上で動作するゲームやアプリの画面テキストをそのまま読み取り、訳文をオーバーレイ表示する Windows 向けの翻訳ツールです。対象のウィンドウを選ぶだけで、プレイ中・作業中の体験を壊さずに翻訳結果を重ねて表示できます。

DeepL API や Google AI など、お好みの翻訳エンジンを選んで利用でき、必要に応じて OCR（画面文字の自動認識）も連携。複雑な設定なしに、ゲームの UI やダイアログ、ブラウザーやドキュメントなど、アプリを問わず幅広く扱えます。"
WhatsNew,Text,,,,,,,
ProductFeatures1,Text,,,,,,,対象ウィンドウを指定するだけのかんたん翻訳開始
ProductFeatures2,Text,,,,,,,訳文をゲーム／アプリ画面に重ねるオーバーレイ表示
ProductFeatures3,Text,,,,,,,DeepL API・Google AI など複数エンジンを選択可能
ProductFeatures4,Text,,,,,,,ホットキー操作
ProductFeatures5,Text,,,,,,,
ProductFeatures6,Text,,,,,,,
ProductFeatures7,Text,,,,,,,
ProductFeatures8,Text,,,,,,,
ProductFeatures9,Text,,,,,,,
ProductFeatures10,Text,,,,,,,
ProductFeatures11,Text,,,,,,,
ProductFeatures12,Text,,,,,,,
ProductFeatures13,Text,,,,,,,
ProductFeatures14,Text,,,,,,,
ProductFeatures15,Text,,,,,,,
ProductFeatures16,Text,,,,,,,
ProductFeatures17,Text,,,,,,,
ProductFeatures18,Text,,,,,,,
ProductFeatures19,Text,,,,,,,
ProductFeatures20,Text,,,,,,,
ShortDescription,Text,,,,,,,WindowTranslator は、PCゲームやアプリのテキストをOCRで読み取り、DeepL/Googleなどで翻訳、訳文を画面に重ねて表示するツールです。セットアップ簡単、低遅延。ホットキー・プロファイル・表示調整対応。
SearchTerms1,Text,,,,,,,翻訳ツール
SearchTerms2,Text,,,,,,,ウィンドウ翻訳
SearchTerms3,Text,,,,,,,ゲーム翻訳ツール
SearchTerms4,Text,,,,,,,アプリ画面翻訳
SearchTerms5,Text,,,,,,,画面テキスト翻訳
SearchTerms6,Text,,,,,,,pc向け翻訳ソフト
SearchTerms7,Text,,,,,,,ocr連携翻訳ツール
